Model,Best_Params,Best_CV_ROC_AUC
Random Forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 400}",0.564
XGBoost,"{""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__n_estimators"": 200, ""model__subsample"": 0.8}",0.5603
KNN,"{""model__n_neighbors"": 15, ""model__weights"": ""distance""}",0.5473
Logistic Regression,"{""model__C"": 0.01}",0.5467
SVM Linear,"{""model__estimator__C"": 0.01}",0.5459
Decision Tree,"{""model__max_depth"": null, ""model__min_samples_leaf"": 15}",0.5362
