,Model,Train_Acc (%),Test_Acc (%),Overfit_Gap (%),Precision (%),Recall (%),F1-Score (%),ROC-AUC (%),CV_F1_Mean (%),CV_F1_Std (%)
1,Random Forest,100.0,95.2,4.8,20.0,0.71,1.37,75.16,97.2,5.33
2,XGBoost,97.62,95.16,2.46,16.67,0.71,1.36,75.11,97.01,5.6
3,Decision Tree,91.92,90.87,1.04,11.78,14.49,13.0,71.85,89.87,5.94
4,Logistic Regression,80.49,77.63,2.86,8.51,38.52,13.94,68.68,80.66,3.0
5,SVM (Linear),80.6,77.91,2.69,8.62,38.52,14.09,68.1,80.64,3.0
6,KNN,100.0,81.47,18.53,8.23,28.98,12.82,64.37,90.86,0.82
