Model,Train_Accuracy,Test_Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Specificity,MCC,CV_F1_Mean,CV_F1_Std,TN,FP,FN,TP
Random Forest,89.14,87.16,51.38,8.15,10.56,9.2,56.88,7.65,92.19,0.0244,8.88,1.35,1994,169,127,15
Logistic Regression,62.76,62.47,55.0,7.72,46.48,13.24,56.29,6.94,63.52,0.0498,12.28,1.04,1374,789,76,66
SVM Linear,63.42,63.47,54.87,7.73,45.07,13.2,56.23,6.92,64.68,0.0489,11.81,0.68,1399,764,78,64
XGBoost,79.03,77.7,52.59,7.73,23.94,11.68,55.88,7.01,81.23,0.0317,11.3,1.69,1757,406,108,34
Decision Tree,80.6,78.05,50.14,6.25,18.31,9.32,52.12,6.96,81.97,0.0017,11.39,1.28,1773,390,116,26
KNN,89.29,87.85,51.74,8.93,10.56,9.68,52.04,6.99,92.93,0.0323,8.54,1.98,2010,153,127,15
