Model,Best_Params,Best_CV_ROC_AUC
XGBoost,"{""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__n_estimators"": 200, ""model__subsample"": 0.8}",0.5549
Random Forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 400}",0.5514
Decision Tree,"{""model__max_depth"": null, ""model__min_samples_leaf"": 15}",0.5485
Logistic Regression,"{""model__C"": 0.01}",0.5445
SVM Linear,"{""model__estimator__C"": 0.01}",0.5424
KNN,"{""model__n_neighbors"": 15, ""model__weights"": ""uniform""}",0.5216
