Model,Best_F1_Threshold,Best_F1,Precision_at_Best_F1,Recall_at_Best_F1,Accuracy_at_Best_F1,Balanced_Accuracy_at_Best_F1,Specificity_at_Best_F1,MCC_at_Best_F1
XGBoost,0.465,13.91,8.91,31.69,75.84,55.21,78.73,0.0606
SVM Linear,0.49,13.53,7.88,47.89,62.3,55.57,63.25,0.0553
Logistic Regression,0.485,13.52,7.8,50.7,60.04,55.68,60.66,0.0557
Random Forest,0.225,13.43,7.91,44.37,64.77,55.24,66.11,0.053
KNN,0.05,12.27,6.74,68.31,39.83,53.13,37.96,0.0311
Decision Tree,0.05,11.99,6.71,56.34,49.07,52.46,48.59,0.0237
