Feature,RF_Importance
Division,0.2384374820742571
Spousal_Age_Gap,0.1207002160899529
Respondent_Education,0.10732875263266049
Wealth_Index,0.09449441185887021
Respondent_Age,0.07650081924428138
contra_decision_maker,0.07028221478919756
Contraceptive_Use,0.06762488085653945
Parity,0.06345530699470858
Residence,0.05785761451680063
age_at_First_Birth,0.055829464629480234
Internet_Use,0.047488836313251535
