V005,V012,V021,V023,V025,V106,V190,V201,V212,V312,V511,V632,V701,V730,Respondent's Current Age,age_dif,age_dif_cat,Teenage Pregnancy (Age at 1st Birth),Contraceptive Use,contra_decision3,Total Number of Children,Wealth Index
-0.35565627,-0.704281,0.06385904,0.16786623,-0.037323803,-0.070300244,0.07304874,0.05971577,-0.8674422,0.16019146,0.012669332,-0.02445926,-0.31389162,-0.20256296,0.26268226,-0.23587142,-0.5311769,0.07089357,-1.0146375,9.967945e-05,-0.4320034,0.04117702
-0.11132872,-0.16901468,0.0023160714,-0.15700965,0.023757191,0.08486506,-0.21835786,-0.035403486,-0.038505327,-0.4535759,-5.0408845,0.06193889,-0.42756647,-0.24463722,0.11653175,-0.35756403,0.06768451,0.13484281,0.22794858,-0.89358836,-0.28551129,-0.057958744
-0.1190514,0.36910456,-0.13571355,-0.0810799,-0.03574854,-0.026818044,0.064913645,-0.08261042,0.8013209,-0.8483031,0.036757104,-0.1677006,-0.28869474,0.31230605,-0.54229146,-0.06381955,-0.5148736,-1.0621202,0.19874229,-0.10824019,-0.40666443,0.0017283002
-0.091449976,0.29549024,-0.21193203,0.14999895,-0.042680442,0.009621465,0.00090397766,-0.07631747,-0.32185772,0.015558689,0.04435485,0.05015778,-0.39239487,0.37042645,-0.47096586,-0.0958545,-0.41324952,0.104389325,-1.2151797,-0.6806206,-0.42330566,0.01883045
0.19628136,-0.37093192,0.42537692,-0.14705026,-0.038530994,-0.13181187,0.021291016,-0.16561249,-0.6450075,0.06237165,-0.052348047,-0.039848756,-0.37585676,-0.11290403,0.21042421,0.0017589042,-0.5212911,0.10427518,-1.1286877,-0.030503089,-0.48875865,0.05419239
0.014276864,0.0056059374,-0.34939194,0.12812011,-0.030732268,0.08028897,0.012443345,-0.19698368,-0.4183173,0.46738636,-0.27002165,0.0257454,-0.30412766,0.37215504,-0.42291373,-0.07772544,-0.3430992,0.09459179,-0.96980506,0.005619248,-0.40861386,0.027863938
-0.049532503,-0.12645802,0.15798797,0.09787184,-0.04217818,-0.13716215,0.053753298,-0.12405795,-0.40698513,-0.8661715,0.046573203,-0.13464135,-0.3472378,-0.08938919,0.16063057,-0.031779535,-0.44023687,0.080076754,0.3294026,-0.104742825,-0.38462254,0.039977722
0.0035049636,0.17972592,-0.24667864,0.03616027,-0.033128522,0.07857096,-0.011319884,-0.029430494,-0.25070524,-0.50741947,-4.9689894,0.02824929,-0.49430418,-0.25752294,-0.3080893,-0.36349946,0.026814159,0.0855646,0.21538568,-0.89907295,-0.23070298,0.014413892
0.028149614,-0.16910341,0.03396393,-0.058055103,0.023217864,0.15288551,-0.029021172,0.047899634,-0.37196806,0.75837076,0.40456495,-0.032019757,-0.4740359,-0.10457347,0.15600142,-0.22555,-0.6197217,0.21410002,-0.75382894,-0.0055403123,-0.4291387,0.020335594
0.06825636,-0.42760158,0.12045086,-0.2759121,-0.030689018,-0.05824598,0.060582973,0.07599,0.49221078,-0.47585288,-4.937666,0.1553289,-0.49218443,-0.32815394,0.2544044,-0.32424673,0.05854464,-0.68863124,0.21172592,-0.86834717,-0.22998181,0.033262663
