Feature,Mean_|SHAP|
V511,1.7816415
V312,0.52722657
Contraceptive Use,0.5089074
V701,0.45357636
Teenage Pregnancy (Age at 1st Birth),0.4481631
V212,0.41281164
contra_decision3,0.3780968
Total Number of Children,0.34999827
V012,0.34939587
age_dif_cat,0.30748868
Respondent's Current Age,0.27316916
V021,0.1905857
V730,0.18788378
age_dif,0.17909923
V005,0.17282233
V023,0.13240801
V106,0.1305663
V190,0.09686883
V632,0.08607075
V201,0.07233894
V025,0.056052994
Wealth Index,0.035667323
