Model,Accuracy_mean,Accuracy_CI_lower,Accuracy_CI_upper,Precision_mean,Precision_CI_lower,Precision_CI_upper,Recall_mean,Recall_CI_lower,Recall_CI_upper,F1_mean,F1_CI_lower,F1_CI_upper,AUC_mean,AUC_CI_lower,AUC_CI_upper
Logistic Regression,79.04,77.97,80.05,4.61,3.45,5.89,30.7,24.19,37.43,8.01,6.06,10.11,67.17,63.83,70.27
Decision Tree,95.47,94.93,95.98,4.85,1.12,9.44,2.8,0.58,5.5,3.54,0.75,6.9,69.93,66.93,73.35
Random Forest,97.0,96.56,97.41,25.09,0.0,100.0,0.55,0.0,1.82,1.08,0.0,3.51,74.11,71.22,76.93
XGBoost,96.96,96.51,97.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1,72.24,77.76
SVM (Linear),79.44,78.39,80.52,4.71,3.43,5.94,30.83,24.0,37.93,8.16,6.07,10.27,66.76,63.47,70.34
KNN,84.98,84.08,85.94,6.04,4.42,7.84,27.9,21.39,34.81,9.93,7.37,12.65,62.82,58.75,66.78
