Feature,Chi2_Score
Parity,14.707574743366811
Division,11.746616837942623
Respondent_Education,10.865310709242756
Respondent_Age,9.800591298851092
Internet_Use,4.159403189747662
Spousal_Age_Gap,2.503692026096303
age_at_First_Birth,2.4981828354551974
Contraceptive_Use,2.356996329098985
Wealth_Index,1.0384469142525563
contra_decision_maker,0.10564879242909038
Residence,0.08748784703897756
