Model,Train_Accuracy,Test_Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Specificity,MCC,CV_F1_Mean,CV_F1_Std,TN,FP,FN,TP
KNN,86.49,82.6,49.34,8.49,8.0,8.24,51.94,10.51,90.67,-0.0136,8.96,1.41,1886,194,207,18
Logistic Regression,61.39,60.22,50.81,10.14,39.11,16.1,51.91,11.66,62.5,0.0099,17.95,1.59,1300,780,137,88
Random Forest,84.18,79.22,50.04,9.81,13.78,11.46,51.74,10.8,86.3,0.0007,12.62,1.95,1795,285,194,31
SVM Linear,61.84,60.35,50.48,9.99,38.22,15.84,51.56,11.58,62.74,0.0059,17.49,1.75,1305,775,139,86
XGBoost,64.55,64.08,51.16,10.38,35.11,16.02,51.5,11.4,67.21,0.0147,18.09,0.94,1398,682,146,79
Decision Tree,75.45,70.67,50.26,9.95,24.89,14.21,51.04,10.3,75.62,0.0035,15.09,0.99,1573,507,169,56
