,Model,Train_Acc (%),Test_Acc (%),Overfit_Gap (%),Precision (%),Recall (%),F1-Score (%),ROC-AUC (%),CV_F1_Mean (%),CV_F1_Std (%)
1,XGBoost,98.27,96.53,1.74,30.0,1.46,2.79,75.6,97.92,3.86
2,Random Forest,100.0,96.53,3.47,0.0,0.0,0.0,73.12,98.13,3.59
3,Decision Tree,90.91,93.87,-2.96,9.41,9.27,9.34,72.47,90.2,3.21
4,Logistic Regression,81.09,78.57,2.52,5.86,35.12,10.05,68.54,81.13,2.0
5,SVM,93.76,90.28,3.49,5.61,11.71,7.58,66.82,92.57,3.09
6,KNN,100.0,83.11,16.89,6.16,27.8,10.09,63.92,91.67,0.67
