Model,Accuracy_mean,Accuracy_CI_lower,Accuracy_CI_upper,Precision_mean,Precision_CI_lower,Precision_CI_upper,Recall_mean,Recall_CI_lower,Recall_CI_upper,F1_mean,F1_CI_lower,F1_CI_upper,AUC_mean,AUC_CI_lower,AUC_CI_upper
Logistic Regression,78.58,77.48,79.52,5.91,4.57,7.32,35.2,28.57,42.33,10.12,7.91,12.42,68.58,65.53,71.37
Decision Tree,93.87,93.27,94.41,9.45,5.59,13.4,9.27,5.39,13.17,9.34,5.45,13.14,72.47,69.64,75.14
Random Forest,96.53,96.06,96.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.12,70.6,75.64
XGBoost,96.52,96.06,96.97,30.04,0.0,61.56,1.47,0.0,3.32,2.8,0.0,6.28,75.59,73.01,78.19
SVM (Linear),78.93,77.84,79.97,5.96,4.62,7.36,35.07,28.51,42.13,10.18,7.98,12.41,68.19,65.32,71.13
KNN,83.12,82.18,84.09,6.17,4.75,7.71,27.79,22.17,33.84,10.09,7.92,12.41,63.83,60.17,67.16
